epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5511571168899536,0.0005000000237487257,1.1123883724212646,0.4756097491,0.5907430052757263,0.9237701,0.598051130771637,0.0005000000237487257,0.8953521251678467,0.5487805008888245,0.8447181582450867
2,0.6242387294769287,0.0005000000237487257,0.7973317503929138,0.5121951103210449,1.2197613716125488
3,0.6394640803337097,0.0005000000237487257,0.746794581413269,0.4878048896789551,1.7084386348724365
4,0.6632155776023865,0.0005000000237487257,0.7154372930526733,0.5219511985778809,1.1992536783218384
5,0.6766138672828674,0.0005000000237487257,0.6731633543968201,0.5170731544494629,1.9127233028411865
6,0.7034104466438293,0.0002500000118743628,0.6358616352081299,0.5097560882568359,1.979036808013916
7,0.7082825899124146,0.0002500000118743628,0.5880834460258484,0.49268293380737305,1.3727775812149048
8,0.7082825899124146,0.0002500000118743628,0.5839530229568481,0.5658536553382874,1.1801594495773315
9,0.7253349423408508,0.0002500000118743628,0.5594161748886108,0.5390244126319885,1.0439517498016357
10,0.7460414171218872,0.0001250000059371814,0.5276954174041748,0.5414634346961975,0.9023169279098511
11,0.7643117904663086,0.0001250000059371814,0.5098990797996521,0.5585365891456604,0.9236387610435486
12,0.7624847888946533,0.0001250000059371814,0.506233274936676,0.5243902206420898,1.000962734222412
13,0.7637028098106384,0.0001250000059371814,0.4922333061695099,0.5243902206420898,1.0240278244018555
14,0.7807551622390747,6.25000029685907e-05,0.44468826055526733,0.5317073464393616,1.017265796661377
15,0.7880633473396301,6.25000029685907e-05,0.4470020532608032,0.5219511985778809,1.0132639408111572
16,0.7965895533561707,6.25000029685907e-05,0.443998247385025,0.5487805008888245,0.9384831786155701
